year,tipo_de_gasto,values
2008,gasto_corriente,1998.85
2008,gasto_de_capital_diferente_de_obra_publica,231.14
2008,gasto_de_inversion_por_concepto_de_subsidios_a_traves_de_fideicomisos_privados_o_estatales,2.41
2008,gasto_de_obra_publica,157.41
2008,participaciones,398.51
2009,gasto_corriente,2283.32
2009,gasto_de_capital_diferente_de_obra_publica,194.65
2009,gasto_de_inversion_por_concepto_de_subsidios_a_traves_de_fideicomisos_privados_o_estatales,2.01
2009,gasto_de_obra_publica,395.71
2009,participaciones,428.44
2010,gasto_corriente,2404.45
2010,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,9.66
2010,gasto_corriente_por_concepto_de_subsidios_a_traves_de_fideicomisos_privados_o_estatales,1.50
2010,gasto_de_capital_diferente_de_obra_publica,149.76
2010,gasto_de_inversion_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,1.29
2010,gasto_de_inversion_por_concepto_de_subsidios_a_traves_de_fideicomisos_privados_o_estatales,4.56
2010,gasto_de_obra_publica,429.00
2010,participaciones,439.74
2011,gasto_corriente,2561.31
2011,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,10.74
2011,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,10.44
2011,gasto_de_capital_diferente_de_obra_publica,178.81
2011,gasto_de_inversion_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,1.28
2011,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,4.97
2011,gasto_de_inversion_por_concepto_de_subsidios_a_traves_de_fideicomisos_privados_o_estatales,3.93
2011,gasto_de_obra_publica,457.22
2011,participaciones,491.76
2012,gasto_corriente,2832.63
2012,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,11.89
2012,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,15.57
2012,gasto_de_capital_diferente_de_obra_publica,195.74
2012,gasto_de_inversion_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,1.09
2012,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,2.78
2012,gasto_de_inversion_por_concepto_de_subsidios_a_traves_de_fideicomisos_privados_o_estatales,4.18
2012,gasto_de_obra_publica,468.83
2012,participaciones,502.90
2013,gasto_corriente,3044.54
2013,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,11.65
2013,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,16.93
2013,gasto_de_capital_diferente_de_obra_publica,202.95
2013,gasto_de_inversion_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,1.25
2013,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,2.68
2013,gasto_de_inversion_por_concepto_de_subsidios_a_traves_de_fideicomisos_privados_o_estatales,3.99
2013,gasto_de_obra_publica,505.57
2013,participaciones,533.06
2014,gasto_corriente,3443.45
2014,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,17.60
2014,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,23.23
2014,gasto_de_capital_diferente_de_obra_publica,225.22
2014,gasto_de_inversion_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,0.69
2014,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,2.90
2014,gasto_de_inversion_por_concepto_de_subsidios_a_traves_de_fideicomisos_privados_o_estatales,5.48
2014,gasto_de_obra_publica,611.34
2014,participaciones,575.50
2015,gasto_corriente,3620.33
2015,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,13.87
2015,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,24.80
2015,gasto_de_capital_diferente_de_obra_publica,237.31
2015,gasto_de_inversion_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,0.69
2015,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,3.00
2015,gasto_de_obra_publica,633.51
2015,participaciones,604.91
2016,gasto_corriente,2886.43
2016,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,12.08
2016,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,20.90
2016,gasto_de_capital_diferente_de_obra_publica,217.00
2016,gasto_de_inversion_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,0.60
2016,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,1.78
2016,gasto_de_obra_publica,519.49
2016,participaciones,676.46
2016,pensiones_y_jubilaciones,962.39
2017,gasto_corriente,3019.43
2017,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,9.57
2017,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,13.36
2017,gasto_de_capital_diferente_de_obra_publica,181.38
2017,gasto_de_inversion_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,0.21
2017,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,3.81
2017,gasto_de_obra_publica,402.04
2017,participaciones,740.23
2017,pensiones_y_jubilaciones,1150.56
2018,gasto_corriente,3222.50
2018,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,9.16
2018,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,13.76
2018,gasto_de_capital_diferente_de_obra_publica,239.68
2018,gasto_de_inversion_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,0.37
2018,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,3.49
2018,gasto_de_obra_publica,400.35
2018,participaciones,809.44
2018,pensiones_y_jubilaciones,1269.02
2019,gasto_corriente,3532.82
2019,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,6.57
2019,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,13.32
2019,gasto_de_capital_diferente_de_obra_publica,223.14
2019,gasto_de_inversion_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,0.08
2019,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,3.71
2019,gasto_de_obra_publica,488.70
2019,participaciones,917.21
2019,pensiones_y_jubilaciones,1412.29
2020,gasto_corriente,3665.74
2020,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,4.76
2020,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,14.12
2020,gasto_de_capital_diferente_de_obra_publica,293.19
2020,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,3.71
2020,gasto_de_obra_publica,464.69
2020,participaciones,948.75
2020,pensiones_y_jubilaciones,1558.78
2021,gasto_corriente,3726.21
2021,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,4.42
2021,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,12.92
2021,gasto_de_capital_diferente_de_obra_publica,300.06
2021,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,3.82
2021,gasto_de_obra_publica,524.97
2021,participaciones,918.61
2021,pensiones_y_jubilaciones,1739.88
2022,gasto_corriente,4168.90
2022,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,4.95
2022,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,13.41
2022,gasto_de_capital_diferente_de_obra_publica,317.12
2022,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,3.96
2022,gasto_de_obra_publica,660.01
2022,participaciones,1016.53
2022,pensiones_y_jubilaciones,1926.84
2023,gasto_corriente,4818.44
2023,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,22.22
2023,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,14.16
2023,gasto_de_capital_diferente_de_obra_publica,362.00
2023,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,4.18
2023,gasto_de_obra_publica,823.61
2023,participaciones,1217.07
2023,pensiones_y_jubilaciones,2204.16
2024,gasto_corriente,5492.15
2024,gasto_corriente_por_concepto_de_gastos_indirectos_de_programas_de_subsidios,23.30
2024,gasto_corriente_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,11.02
2024,gasto_de_capital_diferente_de_obra_publica,475.32
2024,gasto_de_inversion_por_concepto_de_recursos_otorgados_a_fideicomisos_publicos_no_considerados_entidad_paraestatal_cuyo_proposito_financiero_se_,2.44
2024,gasto_de_obra_publica,634.58
2024,participaciones,1259.43
2024,pensiones_y_jubilaciones,2508.45
